field,category,dtype
asian_close_high_water,亚盘终盘,float64
asian_close_line,亚盘终盘,float64
asian_close_low_water,亚盘终盘,float64
asian_direction,亚盘,int64
asian_line_change,亚盘,float64
asian_line_direction,亚盘,float64
asian_open_line,亚盘初盘,float64
away_team,元数据,str
bookmaker_divergence,衍生特征,float64
close_away_odds,欧赔终盘,float64
close_away_prob,欧赔终盘,float64
close_draw_odds,欧赔终盘,float64
close_draw_prob,欧赔终盘,float64
close_home_odds,欧赔终盘,float64
close_home_prob,欧赔终盘,float64
favorite_direction,衍生特征,float64
favorite_prob,衍生特征,float64
home_team,元数据,str
kickoff_time,元数据,str
label_asian,标签,float64
label_away_win,标签,float64
label_draw,标签,float64
label_goal_diff,标签,float64
label_home_win,标签,float64
label_over_2_5,标签,float64
label_total_goals,标签,float64
label_upset,标签,float64
league_code,元数据,str
match_id,元数据,str
odds_change_pct_away,衍生特征,float64
odds_change_pct_draw,衍生特征,float64
odds_change_pct_home,衍生特征,float64
odds_dispersion,衍生特征,float64
odds_var_away,衍生特征,float64
odds_var_draw,衍生特征,float64
odds_var_home,衍生特征,float64
open_away_odds,欧赔初盘,float64
open_away_prob,欧赔初盘,float64
open_draw_odds,欧赔初盘,float64
open_draw_prob,欧赔初盘,float64
open_home_odds,欧赔初盘,float64
open_home_prob,欧赔初盘,float64
ou_close_line,亚盘终盘,float64
ou_close_over_water,大小球终盘,float64
ou_close_under_water,大小球终盘,float64
ou_line_change,亚盘,float64
ou_line_direction,亚盘,float64
ou_open_line,亚盘初盘,float64
prob_change_away,衍生特征,float64
prob_change_draw,衍生特征,float64
prob_change_home,衍生特征,float64
season,元数据,int64
